Descripción,Localización,Precio,Superficie Construida,Última Actualización,Consumo Energético,Emisiones CO2,Tipo de operación,Superficie construida,Superficie útil,Habitaciones,Baños,Tipo de casa,Antigüedad,Conservación,Referencia,Planta,Gastos de comunidad,Superficie solar,Exterior,Interior
Piso en alquiler en San Isidro,San Isidro (Getafe),920,64,Anuncio actualizado el 12/09/2024,,,Alquiler,64 m²,,2,1,,,En buen estado,SA3458-2001/20010008/56,2ª,,,,
Ático en alquiler en Quintana,Quintana (Distrito Ciudad Lineal. Madrid Capital),1.150,50,Anuncio actualizado el 23/10/2024,,,Alquiler,50 m²,,1,1,,Entre 20 y 30 años,,EP805-1180,6ª,,,,
Piso en alquiler en Distrito Salamanca,Recoletos (Distrito Salamanca. Madrid Capital),3.500,150,Anuncio actualizado el 27/10/2024,,,Alquiler,150 m²,,4,2,,,A estrenar,XA633-5845,2ª,,,,
Piso en alquiler en Buenavista,Buenavista (Distrito Carabanchel. Madrid Capital),1.040,68,Anuncio actualizado el 30/08/2024,,,Alquiler,68 m²,,3,1,,,En buen estado,SA3458-2001/20010001/1727,3ª,,,,
Piso en alquiler en Sanchinarro,Sanchinarro (Distrito Hortaleza. Madrid Capital),1.800,97,Anuncio actualizado el 26/10/2024,,,Alquiler,97 m²,,2,2,,,,AG610-PIS2788,,,,,
Dúplex en alquiler en Calle de Alfonso XII,Jerónimos (Distrito Retiro. Madrid Capital),3.800,186,Anuncio actualizado el 10/10/2024,,,Alquiler,186 m²,,2,3,,,,IF77045-I-00L1A0-W-02WK2S,,,,,
Apartamento en alquiler en Ibiza,Ibiza (Distrito Retiro. Madrid Capital),3.600,170,Anuncio actualizado el 08/10/2024,Consumo:93 kWh/m² año,Emisiones:36 Kg CO₂/m² año,Alquiler,170 m²,,4,3,,Más de 50 años,,IF77045-I-00KZMR-W-02W2PY,3ª,,,,
Apartamento en alquiler en Calle de Bolivia,Hispanoamérica (Distrito Chamartín. Madrid Capital),3.400,131,Anuncio actualizado el 22/10/2024,,,Alquiler,131 m²,,3,2,,Entre 30 y 50 años,,IF77045-I-00L2XH-W-02X3DF,8ª,,,,
Piso en alquiler en Pozuelo de Alarcón,Somosaguas-Húmera-Los Ángeles (Pozuelo de Alarcón),1.305,50,Anuncio actualizado el 28/10/2024,,,Alquiler,50 m²,,1,1,,,,GM34-180906,,,,Exterior,
Ático en alquiler en Embajadores,Acacias (Distrito Arganzuela. Madrid Capital),1.650,85,Anuncio actualizado el 28/10/2024,,,Alquiler,85 m²,80 m²,2,1,,,,SA768-01078/2151,7ª,,,,
Piso en alquiler en Numancia,Numancia (Distrito Puente de Vallecas. Madrid Capital),1.125,57,Anuncio actualizado el 27/09/2024,,,Alquiler,57 m²,,3,1,,,En buen estado,SA3458-2001/20010001/1815,1ª,,,,
Piso en alquiler en Ibiza,Ibiza (Distrito Retiro. Madrid Capital),2.100,75,Anuncio actualizado el 16/10/2024,,,Alquiler,75 m²,75 m²,2,2,,,,XA156-SAP-4450,,,,,
Piso en alquiler en San Cristóbal,San Cristóbal (Distrito Villaverde. Madrid Capital),990,60,Anuncio actualizado el 02/09/2024,,,Alquiler,60 m²,,3,1,,,En buen estado,SA3458-2001/20010001/1808,2ª,,,,
Piso en alquiler en Calle del Patrimonio de la Humanidad,Pau de Carabanchel (Distrito Carabanchel. Madrid Capital),1.300,80,Anuncio actualizado el 18/10/2024,,,Alquiler,80 m²,69 m²,2,2,,Entre 20 y 30 años,En buen estado,STA10-RP442024130864,,,,,
Piso en alquiler en Ensanche,Ensanche (Distrito Ensanche-Espartales. Alcalá de Henares),900,70,Anuncio actualizado el 23/10/2024,,,Alquiler,70 m²,,2,1,,,En buen estado,XA24-2830-018912,3ª,,,,
Piso en alquiler en Almendrales,Almendrales (Distrito Usera. Madrid Capital),1.000,58,Anuncio actualizado el 30/09/2024,,,Alquiler,58 m²,,2,1,,,En buen estado,SA3458-2001/20010001/1887,2ª,,,,
Piso en alquiler en Arcos,Arcos (Distrito San Blas. Madrid Capital),1.005,58,Anuncio actualizado el 14/08/2024,,,Alquiler,58 m²,,3,1,,,En buen estado,SA3458-2001/20010001/1787,4ª,,,,
"Piso en alquiler en Calle de Puerto Rico, número .",Hispanoamérica (Distrito Chamartín. Madrid Capital),1.600,62,Anuncio actualizado el 16/10/2024,,,Alquiler,62 m²,62 m²,2,1,,,,EP442-613345,4ª,,,,
Piso en alquiler en Loranca,Loranca- Nuevo Versalles-Parque Miraflores (Fuenlabrada),900,90,Anuncio actualizado el 28/10/2024,,,Alquiler,90 m²,,3,2,,,En buen estado,XA24-2828-032318,3ª,,,,
Dúplex en alquiler en Trafalgar,Trafalgar (Distrito Chamberí. Madrid Capital),13.500,236,Anuncio actualizado el 17/09/2024,,,Alquiler,236 m²,,3,4,,Menos de 5 años,,IF77045-I-00L2XE-W-02WK8T,4ª,,,,
"Piso en alquiler en Calle de Francos Rodríguez, cerca de Calle de Jerónima Llorente",Bellas Vistas (Distrito Tetuán. Madrid Capital),1.850,100,Anuncio actualizado el 20/05/2024,,,Alquiler,100 m²,,2,1,,,,IF76754-franco rodríguez piso,6ª,,,,
Piso en alquiler en San Andrés,San Andrés (Distrito Villaverde. Madrid Capital),885,72,Anuncio actualizado el 13/09/2024,,,Alquiler,72 m²,,2,1,,Más de 50 años,En buen estado,SA4376-2110/21100022/149,3ª,,,,
Apartamento en alquiler en Calle de Sahagún,Valderas-Los Castillos-Parque Lisboa (Alcorcón),900,46,Anuncio actualizado el 25/10/2024,,,Alquiler,46 m²,44 m²,1,1,,,Reformado,991623-30003AMA,Bajo,,,,
Casa en alquiler en Calle Madrid,Las Aves-Jardín de Oñate (Aranjuez),950,138,Anuncio actualizado el 28/10/2024,,,Alquiler,138 m²,135 m²,4,2,,Entre 30 y 50 años,Reformado,4515160-981,,,,,
Apartamento en alquiler en Costillares,Costillares (Distrito Ciudad Lineal. Madrid Capital),1.940,126,Anuncio actualizado el 21/10/2024,,,Alquiler,126 m²,,3,2,,Entre 30 y 50 años,,IF77045-I-00L424-W-02XH4Q,5ª,,,,
"Apartamento en alquiler en Calle de Londres, cerca de Calle de Francisco Navacerrada",Guindalera (Distrito Salamanca. Madrid Capital),2.720,55,Anuncio actualizado el 02/08/2024,,,Alquiler,55 m²,,1,1,,,,IF77045-I-00L1LG-W-02WOEX,2ª,,,,
Ático en alquiler en Canillas,Canillas (Distrito Hortaleza. Madrid Capital),3.400,150,Anuncio actualizado el 20/09/2024,,,Alquiler,150 m²,,3,2,,Menos de 5 años,,IF77045-I-00KZIZ-W-02VTO6,3ª,,,,
Piso en alquiler en Calle de José Rizal,Canillas (Distrito Hortaleza. Madrid Capital),1.990,106,Anuncio actualizado el 28/10/2024,,,Alquiler,106 m²,,3,,,,,XA614-12146,2ª,,,,
"Piso en alquiler en Calle del Cóndor, número .",Vista Alegre (Distrito Carabanchel. Madrid Capital),900,40,Anuncio actualizado el 28/10/2024,,,Alquiler,40 m²,40 m²,1,1,,,,EP442-736914,,,,,
"Apartamento en alquiler en Calle del Espinar, cerca de Paseo de Muñoz Grandes",Vista Alegre (Distrito Carabanchel. Madrid Capital),1.300,40,Anuncio actualizado el 01/08/2024,,,Alquiler,40 m²,35 m²,1,1,,Menos de 5 años,A estrenar,4524941-A-013,Bajo,,,,
Piso en alquiler en Chorrillo,Chorrillo (Distrito Chorrillo-Garena. Alcalá de Henares),865,70,Anuncio actualizado el 30/07/2024,,,Alquiler,70 m²,,3,1,,,En buen estado,SA3458-2001/20010003/45,4ª,,,,
Piso en alquiler en Opañel,Opañel (Distrito Carabanchel. Madrid Capital),1.130,72,Anuncio actualizado el 15/10/2024,,,Alquiler,72 m²,,3,1,,,En buen estado,SA4376-2110/21100022/178,4ª,,,,
Piso en alquiler en Naranjo-La Serna,Naranjo-La Serna (Fuenlabrada),1.100,82,Anuncio actualizado el 25/10/2024,,,Alquiler,82 m²,79 m²,3,1,,Más de 50 años,Reformado,4528573-000002,2ª,Entre 60 y 80 €,,,
Piso en alquiler en Buenavista,Buenavista (Distrito Carabanchel. Madrid Capital),950,56,Anuncio actualizado el 17/09/2024,,,Alquiler,56 m²,,2,1,,,En buen estado,SA3458-2001/20010001/720,3ª,,,,
Chalet adosado en alquiler en El Soto de La Moraleja,El Soto de la Moraleja (La Moraleja),3.600,150,Anuncio actualizado el 19/10/2024,,,Alquiler,150 m²,145 m²,3,4,,Entre 30 y 50 años,Reformado,1794-1101916,,,,,
Piso en alquiler en Villayuventus-Renfe,Villayuventus-Renfe (Parla),950,63,Anuncio actualizado el 16/10/2024,,,Alquiler,63 m²,,3,1,,,En buen estado,SA3458-2001/20010005/65,4ª,,,,
Piso en alquiler en Peñagrande,Peñagrande (Distrito Fuencarral-El Pardo. Madrid Capital),1.250,46,Anuncio actualizado el 28/10/2024,Consumo:393 kWh/m² año,Emisiones:93 Kg CO₂/m² año,Alquiler,46 m²,,,1,,Más de 50 años,En buen estado,TC517-596704,,,,,
Piso en alquiler en Puente de Vallecas,Palomeras Bajas (Distrito Puente de Vallecas. Madrid Capital),950,66,Anuncio actualizado el 28/10/2024,,,Alquiler,66 m²,,3,1,,,En buen estado,XA24-2803-032140,3ª,,,,
Piso en alquiler en Calle de la Academia,Jerónimos (Distrito Retiro. Madrid Capital),7.500,322,Anuncio actualizado el 17/10/2024,,,Alquiler,322 m²,246 m²,4,3,,,En buen estado,XA633-3542,3ª,,,,
Apartamento en alquiler en Argüelles,Argüelles (Distrito Moncloa-Aravaca. Madrid Capital),3.500,216,Anuncio actualizado el 30/09/2024,,,Alquiler,216 m²,,3,3,,Más de 50 años,,IF77045-I-00L3BR-W-02X593,2ª,,,,
Apartamento en alquiler en Calle Aguarón,Valdemarín (Distrito Moncloa-Aravaca. Madrid Capital),1.300,56,Anuncio actualizado el 23/10/2024,,,Alquiler,56 m²,,1,1,,Entre 20 y 30 años,,IF77045-I-00L3VB-W-02XEXC,3ª,,,,
Piso en alquiler en Buenavista,Buenavista (Distrito Carabanchel. Madrid Capital),990,70,Anuncio actualizado el 30/05/2024,,,Alquiler,70 m²,,3,1,,,En buen estado,SA3458-2001/20010001/250,4ª,,,,
Piso en alquiler en Casco Histórico de Barajas,Casco Histórico de Barajas (Distrito Barajas. Madrid Capital),1.315,62,Anuncio actualizado el 06/06/2024,Consumo:43 kWh/m² año,Emisiones:9 Kg CO₂/m² año,Alquiler,62 m²,,2,2,,Menos de 5 años,,IF77045-I-00KZDH-W-02VYH8,,,,,
"Piso en alquiler en Avenida de la Ciudad de Barcelona, cerca de Calle de Catalina Suárez",Adelfas (Distrito Retiro. Madrid Capital),2.200,64,Anuncio actualizado el 21/05/2024,,,Alquiler,64 m²,,1,1,,Entre 5 y 10 años,,IF77045-I-00KT9P-W-02U3CX,7ª,,,,
Piso en alquiler en Amposta,Amposta (Distrito San Blas. Madrid Capital),940,56,Anuncio actualizado el 09/10/2024,,,Alquiler,56 m²,,2,1,,,En buen estado,SA3458-2001/20010001/1332,1ª,,,,
Casa adosada en alquiler en Calle de Luis Carlos Vázquez,San Juan Bautista (Distrito Ciudad Lineal. Madrid Capital),5.900,300,Anuncio actualizado el 09/10/2024,,,Alquiler,300 m²,,6,4,Adosada,,En buen estado,XA633-5917,,,,,
Piso en alquiler en Puerta Bonita,Puerta Bonita (Distrito Carabanchel. Madrid Capital),960,56,Anuncio actualizado el 19/09/2024,,,Alquiler,56 m²,,2,1,,,En buen estado,SA3458-2001/20010001/798,3ª,,,,
Piso en alquiler en Chueca,Justicia-Chueca (Distrito Centro. Madrid Capital),2.800,180,Anuncio actualizado el 01/08/2024,,,Alquiler,180 m²,160 m²,2,2,,Más de 50 años,Reformado,4998317-Chueca_A,2ª,Más de 100 €,,,
Piso en alquiler en Canillas,Canillas (Distrito Hortaleza. Madrid Capital),1.500,105,Anuncio actualizado el 28/10/2024,Consumo:195 kWh/m² año,Emisiones:33 Kg CO₂/m² año,Alquiler,105 m²,,4,1,,Más de 50 años,En buen estado,TC368-599419,,,,,
"Piso en alquiler en Calle Real, cerca de Calle de Clara Campoamor",Villalba Estación (Collado Villalba),1.100,110,Anuncio actualizado el 22/10/2024,,,Alquiler,110 m²,,3,2,,Más de 50 años,En buen estado,SA248-848-RUAL,2ª,,,,
"Piso en alquiler en Ronda de Gloria Fuertes, 2, cerca de Ronda de Gloria Fuertes",Centro (Rivas-Vaciamadrid),940,79,Anuncio actualizado el 26/10/2024,,,Alquiler,79 m²,61 m²,2,1,,,En buen estado,SA2695-2200/22000605/00000004,1ª,,,,
Piso en alquiler en Puerta Bonita,Puerta Bonita (Distrito Carabanchel. Madrid Capital),940,58,Anuncio actualizado el 19/08/2024,,,Alquiler,58 m²,,2,1,,,En buen estado,SA3458-2001/20010001/1773,2ª,,,,
Piso en alquiler en Zona Noroeste,Zona Noroeste (Torrejón de Ardoz),1.060,68,Anuncio actualizado el 28/10/2024,,,Alquiler,68 m²,,3,1,,,En buen estado,SA3458-2001/20010004/97,2ª,,,,
Piso en alquiler en Moncloa-Aravaca,Valdezarza (Distrito Moncloa-Aravaca. Madrid Capital),1.090,68,Anuncio actualizado el 21/10/2024,,,Alquiler,68 m²,,2,1,,,En buen estado,XA24-2815-021360,2ª,,,,
Piso en alquiler en Plaza de los Reyes Magos,Niño Jesús (Distrito Retiro. Madrid Capital),3.200,181,Anuncio actualizado el 21/05/2024,Consumo:130 kWh/m² año,Emisiones:26 Kg CO₂/m² año,Alquiler,181 m²,,4,3,,Más de 50 años,,IF77045-I-00KXIV-W-02VCM8,11ª,,,,
Piso en alquiler en Casco Antiguo,Casco Antiguo (San Sebastián de los Reyes),900,50,Anuncio actualizado el 25/10/2024,,,Alquiler,50 m²,,1,1,,Entre 10 y 20 años,En buen estado,SA3660-S-404,,,,,
Piso en alquiler en San Diego,San Diego (Distrito Puente de Vallecas. Madrid Capital),975,63,Anuncio actualizado el 24/09/2024,,,Alquiler,63 m²,,2,1,,,En buen estado,SA3458-2001/20010001/1580,3ª,,,,
Piso en alquiler en Amposta,Amposta (Distrito San Blas. Madrid Capital),880,48,Anuncio actualizado el 12/08/2024,,,Alquiler,48 m²,,2,1,,,En buen estado,SA3458-2001/20010001/514,3ª,,,,
Piso en alquiler en Calle de San Benito,Almenara (Distrito Tetuán. Madrid Capital),1.865,112,Anuncio actualizado el 28/10/2024,,,Alquiler,112 m²,82 m²,2,,,,,XA614-11381,7ª,,,,
Piso en alquiler en San Andrés,San Andrés (Distrito Villaverde. Madrid Capital),920,77,Anuncio actualizado el 28/10/2024,,,Alquiler,77 m²,,2,1,,,En buen estado,SA3458-2001/20010001/1408,4ª,,,,
Casa pareada en alquiler en Calle del Andarríos,Piovera (Distrito Hortaleza. Madrid Capital),4.500,330,Anuncio actualizado el 09/10/2024,,,Alquiler,330 m²,,6,5,Pareada,Entre 10 y 20 años,En buen estado,SA2591-103412399,,,250 m²,,
Apartamento en alquiler en Avenida de Felipe II,Goya (Distrito Salamanca. Madrid Capital),4.000,207,Anuncio actualizado el 18/10/2024,Consumo:72 kWh/m² año,Emisiones:15 Kg CO₂/m² año,Alquiler,207 m²,,4,3,,Más de 50 años,,IF77045-I-00L3MB-W-02X9K7,4ª,,,,
Chalet unifamiliar en alquiler en Calle de la Madre de Dios,Nueva España (Distrito Chamartín. Madrid Capital),7.500,552,Anuncio actualizado el 28/10/2024,,,Alquiler,552 m²,480 m²,6,6,,Entre 10 y 20 años,En buen estado,4992392-Chalet en Nueva España,,,406 m²,,
Apartamento en alquiler en Nueva España,Nueva España (Distrito Chamartín. Madrid Capital),2.700,120,Anuncio actualizado el 04/10/2024,Consumo:245 kWh/m² año,Emisiones:41 Kg CO₂/m² año,Alquiler,120 m²,,2,2,,Entre 30 y 50 años,,IF77045-I-00L3IH-W-02W7QP,2ª,,,,
Apartamento en alquiler en Jerónimos,Jerónimos (Distrito Retiro. Madrid Capital),13.500,411,Anuncio actualizado el 25/10/2024,,,Alquiler,411 m²,,5,5,,Más de 50 años,,IF77045-I-00KX9A-W-02UY5Z,,,,,
Dúplex en alquiler en Majadahonda - Zona Monte El Pilar,Zona Monte del Pilar (Majadahonda),2.350,176,Anuncio actualizado el 02/09/2024,,,Alquiler,176 m²,,4,3,,,En buen estado,IF6199-428-MA,,,,,
Piso en alquiler en Embajadores-Lavapiés,Embajadores-Lavapiés (Distrito Centro. Madrid Capital),865,42,Anuncio actualizado el 27/09/2024,,,Alquiler,42 m²,,2,1,,,En buen estado,SA4376-2110/21100022/241,1ª,,,,
Apartamento en alquiler en La Moraleja,La Moraleja (La Moraleja),5.000,300,Anuncio actualizado el 04/10/2024,,,Alquiler,300 m²,,4,4,,Menos de 5 años,,IF77045-I-00L3J5-W-02XA7K,1ª,,,,
Apartamento en alquiler en Calle de José Picón,Guindalera (Distrito Salamanca. Madrid Capital),2.000,75,Anuncio actualizado el 28/10/2024,Consumo:195 kWh/m² año,Emisiones:41 Kg CO₂/m² año,Alquiler,75 m²,,2,2,,Más de 50 años,,IF77045-I-00L38U-W-02X3J7,2ª,,,,
Apartamento en alquiler en Canillas,Canillas (Distrito Hortaleza. Madrid Capital),2.000,103,Anuncio actualizado el 28/10/2024,,,Alquiler,103 m²,,2,2,,Menos de 5 años,,IF77045-I-00L4B6-W-02VYU4,2ª,,,,
Apartamento en alquiler en Gaztambide,Gaztambide (Distrito Chamberí. Madrid Capital),3.100,182,Anuncio actualizado el 30/09/2024,,,Alquiler,182 m²,,3,3,,Más de 50 años,,IF77045-I-00L2X6-W-02X37T,,,,,
Piso en alquiler en Cuatro Caminos,Cuatro Caminos (Distrito Tetuán. Madrid Capital),1.330,84,Anuncio actualizado el 30/09/2024,,,Alquiler,84 m²,,3,1,,,En buen estado,SA3458-2001/20010001/642,Bajo,,,,
Apartamento en alquiler en Calle Corredera Baja de San Pablo,Universidad-Malasaña (Distrito Centro. Madrid Capital),3.530,140,Anuncio actualizado el 20/08/2024,,,Alquiler,140 m²,,2,2,,,,IF77045-I-00KIBS-W-02RK8A,1ª,,,,
"Apartamento en alquiler en Calle de Narváez, cerca de Calle del Doctor Castelo",Goya (Distrito Salamanca. Madrid Capital),1.550,61,Anuncio actualizado el 22/10/2024,,,Alquiler,61 m²,56 m²,2,1,,,Reformado,520745-000941,2ª,,,,
Piso en alquiler en San Andrés,San Andrés (Distrito Villaverde. Madrid Capital),985,63,Anuncio actualizado el 24/10/2024,,,Alquiler,63 m²,,2,1,,,En buen estado,SA3458-2001/20010001/1813,3ª,,,,
Piso en alquiler en Fuencarral,La Paz (Distrito Fuencarral-El Pardo. Madrid Capital),1.250,66,Anuncio actualizado el 24/10/2024,,,Alquiler,66 m²,,2,1,,,En buen estado,XA24-2807-031758,8ª,,,,
Piso en alquiler en Casco Antiguo,Casco Antiguo (San Sebastián de los Reyes),1.075,58,Anuncio actualizado el 23/10/2024,,,Alquiler,58 m²,,3,1,,,En buen estado,SA4376-2110/21100038/4,Bajo,,,,
Chalet en alquiler en Calle del Valle de Tena,Valdepastores-Pino Centinela-Las Encinas (Boadilla del Monte),8.500,522,Anuncio actualizado el 21/05/2024,,,Alquiler,522 m²,,5,6,,,En buen estado,IF6199-670-BA,,,2.400 m²,,
Piso en alquiler en San Diego,San Diego (Distrito Puente de Vallecas. Madrid Capital),1.080,74,Anuncio actualizado el 08/10/2024,,,Alquiler,74 m²,,3,1,,,En buen estado,SA3458-2001/20010001/1817,4ª,,,,
Chalet en alquiler en Guadarrama,Guadarrama,900,74,Anuncio actualizado el 28/10/2024,,,Alquiler,74 m²,,2,1,,,En buen estado,XA24-2821-031874,,,,,
Apartamento en alquiler en Universidad-Malasaña,Universidad-Malasaña (Distrito Centro. Madrid Capital),3.100,144,Anuncio actualizado el 13/09/2024,,,Alquiler,144 m²,,2,2,,Menos de 5 años,,IF77045-I-00L0ZY-W-02WGCB,,,,,
Apartamento en alquiler en Guindalera,Guindalera (Distrito Salamanca. Madrid Capital),2.100,76,Anuncio actualizado el 19/09/2024,Consumo:187 kWh/m² año,Emisiones:39 Kg CO₂/m² año,Alquiler,76 m²,,2,1,,,,IF77045-I-00L2PA-W-02X0QG,,,,,
Casa en alquiler en Monte Alina-La Cabaña,Monte Alina-La Cabaña (Pozuelo de Alarcón),7.000,650,Anuncio actualizado el 23/07/2024,,,Alquiler,650 m²,,6,5,,Entre 20 y 30 años,,IF77045-I-00KV5L-W-02UFHK,,,1.610 m²,,
Piso en alquiler en Arganzuela,Chopera (Distrito Arganzuela. Madrid Capital),1.300,75,Anuncio actualizado el 25/10/2024,,,Alquiler,75 m²,,3,1,,,En buen estado,XA24-2818-031966,6ª,,,,
Piso en alquiler en Travesía del Almendro,Palacio (Distrito Centro. Madrid Capital),1.650,60,Anuncio actualizado el 14/08/2024,,,Alquiler,60 m²,50 m²,1,1,,,En buen estado,SA1925-49352,2ª,,,,
Casa en alquiler en Monte Alina-La Cabaña,Monte Alina-La Cabaña (Pozuelo de Alarcón),16.000,435,Anuncio actualizado el 07/10/2024,,,Alquiler,435 m²,,4,5,,Entre 10 y 20 años,,IF77045-I-00L2EH-W-02WVX8,,,807 m²,,
Piso en alquiler en los Rosales,Los Rosales (Distrito Villaverde. Madrid Capital),900,51,Anuncio actualizado el 04/10/2024,,,Alquiler,51 m²,,2,1,,,En buen estado,SA3458-2001/20010001/1383,2ª,,,,
Piso en alquiler en Puerta Bonita,Puerta Bonita (Distrito Carabanchel. Madrid Capital),1.010,65,Anuncio actualizado el 30/07/2024,,,Alquiler,65 m²,,3,1,,,En buen estado,SA3458-2001/20010001/881,3ª,,,,
Casa en alquiler en Somosaguas-Húmera-Los Ángeles,Somosaguas-Húmera-Los Ángeles (Pozuelo de Alarcón),18.500,2.507,Anuncio actualizado el 18/09/2024,,,Alquiler,,,5,5,,Menos de 5 años,,IF77045-I-00L2WA-W-02X06U,,,2.507 m²,,
Piso en alquiler en Hortaleza,Valdebebas-Valdefuentes (Distrito Hortaleza. Madrid Capital),1.032,72,Anuncio actualizado el 24/10/2024,,,Alquiler,72 m²,,2,2,,,En buen estado,XA24-2812-022633,4ª,,,,
Chalet en alquiler en Calle de Diógenes,El Cantizal (Las Rozas de Madrid),6.500,900,Anuncio actualizado el 21/05/2024,,,Alquiler,900 m²,,8,10,,Entre 20 y 30 años,,IF77045-I-00KTDD-W-02U4GE,,,,,
Piso en alquiler en Calle de Andrés de Urdaneta,Legazpi (Distrito Arganzuela. Madrid Capital),1.320,69,Anuncio actualizado el 28/10/2024,,,Alquiler,69 m²,47 m²,1,,,,,XA614-11354,2ª,,,,
Apartamento en alquiler en Calle del Barco,Sol (Distrito Centro. Madrid Capital),3.030,84,Anuncio actualizado el 20/08/2024,,,Alquiler,84 m²,,1,1,,,,IF77045-I-00KJ3G-W-02RKA3,1ª,,,,
"Apartamento en alquiler en Avenida de Francisco Pi y Margall, 25, cerca de Calle de Isabel Clara Eugenia",Sanchinarro (Distrito Hortaleza. Madrid Capital),1.127,59,Anuncio actualizado el 22/10/2024,,,Alquiler,59 m²,,2,1,,Entre 10 y 20 años,,SA4312-SOF-PMARD225/9940,2ª,,,,
"Piso en alquiler en Calle Felipe III, 9",Estación (Valdemoro),1.010,96,Anuncio actualizado el 20/10/2024,,,Alquiler,96 m²,,2,2,,,En buen estado,SA5100-2200/22000832/00000123,,,,,
Loft en alquiler en Ciudalcampo-Fuente del Fresno,Ciudalcampo-Fuente del Fresno (San Sebastián de los Reyes),1.450,90,Anuncio actualizado el 10/09/2024,Consumo:124 kWh/m² año,Emisiones:19 Kg CO₂/m² año,Alquiler,90 m²,,2,1,,Menos de 5 años,,IF77045-I-00KXNJ-W-02VA57,1ª,,,,
Casa en alquiler en Calle de la Bondad,Guindalera (Distrito Salamanca. Madrid Capital),3.100,154,Anuncio actualizado el 24/10/2024,Consumo:397 kWh/m² año,Emisiones:83 Kg CO₂/m² año,Alquiler,154 m²,,3,2,,Más de 50 años,,IF77045-I-00L43A-W-02XHAB,,,177 m²,,
Piso en alquiler en Puerta Bonita,Puerta Bonita (Distrito Carabanchel. Madrid Capital),1.020,65,Anuncio actualizado el 08/10/2024,,,Alquiler,65 m²,,3,1,,,En buen estado,SA3458-2001/20010001/1819,4ª,,,,
Apartamento en alquiler en El Viso,El Viso (Distrito Chamartín. Madrid Capital),3.950,230,Anuncio actualizado el 17/10/2024,Consumo:189 kWh/m² año,Emisiones:35 Kg CO₂/m² año,Alquiler,230 m²,,3,2,,Más de 50 años,,IF77045-I-00L3Y9-W-02WYLR,7ª,,,,
Apartamento en alquiler en Justicia-Chueca,Justicia-Chueca (Distrito Centro. Madrid Capital),8.000,256,Anuncio actualizado el 18/10/2024,,,Alquiler,256 m²,,4,4,,Más de 50 años,,IF77045-I-00L40I-W-02XGZ4,,,,,
Piso en alquiler en Latina,Campamento (Distrito Latina. Madrid Capital),1.300,90,Anuncio actualizado el 28/10/2024,,,Alquiler,90 m²,,3,1,,,En buen estado,XA24-2808-032182,2ª,,,,
